H GaussMeter (Oe),Mx (emu),,,
1531.126038,4.88E-01,7.9954E-05,7.9954E-05,
1506.111649,4.86E-01,0.000141695,0.000141695,
1484.939438,4.83E-01,8.22329E-05,8.22329E-05,
1460.618286,4.81E-01,8.08884E-05,8.08884E-05,
1435.892853,4.79E-01,9.31812E-05,9.31812E-05,
1414.429306,4.77E-01,0.000102688,0.000102688,
1394.952865,4.75E-01,0.000145595,0.000145595,
1374.347824,4.72E-01,7.7574E-05,7.7574E-05,
1348.565979,4.70E-01,7.99324E-05,7.99324E-05,
1323.54483,4.68E-01,8.36466E-05,8.36466E-05,
1299.634705,4.66E-01,0.000100086,0.000100086,
1279.651962,4.64E-01,0.000124032,0.000124032,
1255.464737,4.61E-01,9.27538E-05,9.27538E-05,
1233.902267,4.59E-01,8.5786E-05,8.5786E-05,
1210.58844,4.57E-01,7.862E-05,7.862E-05,
1185.149628,4.55E-01,0.00013029,0.00013029,
1162.1241,4.52E-01,8.90286E-05,8.90286E-05,
1139.659409,4.50E-01,9.59936E-05,9.59936E-05,
1118.824677,4.48E-01,0.000120942,0.000120942,
1094.01944,4.45E-01,8.10237E-05,8.10237E-05,
1069.335297,4.43E-01,0.000110847,0.000110847,
1051.292465,4.41E-01,0.000134493,0.000134493,
1028.986481,4.38E-01,6.72959E-05,6.72959E-05,
999.266968,4.36E-01,0.000112989,0.000112989,
981.566131,4.34E-01,0.000113072,0.000113072,
955.034363,4.31E-01,8.05745E-05,8.05745E-05,
930.212609,4.29E-01,0.000144651,0.000144651,
909.473099,4.26E-01,8.08204E-05,8.08204E-05,
884.726883,4.24E-01,7.92806E-05,7.92806E-05,
859.500015,4.22E-01,0.000125921,0.000125921,
835.675537,4.19E-01,7.9338E-05,7.9338E-05,
810.466927,4.17E-01,0.000138747,0.000138747,
788.844803,4.14E-01,7.83468E-05,7.83468E-05,
763.317284,4.12E-01,8.45933E-05,8.45933E-05,
739.674751,4.10E-01,0.000137744,0.000137744,
717.895203,4.07E-01,9.62304E-05,9.62304E-05,
697.111748,4.05E-01,0.000104235,0.000104235,
677.924271,4.03E-01,8.72677E-05,8.72677E-05,
655.006294,4.01E-01,0.000129956,0.000129956,
631.921501,3.98E-01,0.000121696,0.000121696,
615.48706,3.96E-01,8.44404E-05,8.44404E-05,
591.801712,3.94E-01,8.68607E-05,8.68607E-05,
568.776344,3.92E-01,9.33467E-05,9.33467E-05,
547.35083,3.90E-01,0.000116015,0.000116015,
521.492065,3.87E-01,0.000132474,0.000132474,
498.846142,3.84E-01,0.000103159,0.000103159,
469.764904,3.81E-01,9.59198E-05,9.59198E-05,
428.063389,3.77E-01,0.000108386,0.000108386,
381.931896,3.72E-01,0.000114181,0.000114181,
346.899777,3.68E-01,0.000104804,0.000104804,
318.275001,3.65E-01,7.6342E-05,7.6342E-05,
292.077103,3.63E-01,0.00010658,0.00010658,
263.929226,3.60E-01,0.000132865,0.000132865,
241.349882,3.57E-01,0.000107211,0.000107211,
222.695164,3.55E-01,0.000104079,0.000104079,
203.479073,3.53E-01,8.12847E-05,8.12847E-05,
178.87421,3.51E-01,9.54857E-05,9.54857E-05,
157.928675,3.49E-01,9.80056E-05,9.80056E-05,
137.521673,3.47E-01,0.000179226,0.000179226,
120.782998,3.44E-01,7.87978E-05,7.87978E-05,
95.40157,3.42E-01,0.000118888,0.000118888,
70.167807,3.39E-01,0.000104062,0.000104062,
50.948493,3.37E-01,0.000118697,0.000118697,
25.67411,3.34E-01,0.000105118,0.000105118,
6.64781,3.32E-01,0.000305161,0.000305161,
-22.84485,3.23E-01,-0.000156209,10000,
-48.45157,3.27E-01,0.000134521,0.000134521,
-70.752925,3.24E-01,9.83372E-05,9.83372E-05,
-91.091101,3.22E-01,0.000110563,0.000110563,
-118.224874,3.19E-01,8.4537E-05,8.4537E-05,
-141.883147,3.17E-01,0.000138094,0.000138094,
-163.607491,3.14E-01,7.66344E-05,7.66344E-05,
-189.705416,3.12E-01,0.000154295,0.000154295,
-209.14871,3.09E-01,7.87415E-05,7.87415E-05,
-234.548264,3.07E-01,0.00014734,0.00014734,
-254.909342,3.04E-01,7.54808E-05,7.54808E-05,
-281.406151,3.02E-01,0.000128967,0.000128967,
-304.667965,2.99E-01,0.000100937,0.000100937,
-324.482399,2.97E-01,0.000111347,0.000111347,
-351.425133,2.94E-01,9.44253E-05,9.44253E-05,
-372.605896,2.92E-01,0.000114975,0.000114975,
-398.698532,2.89E-01,0.000134147,0.000134147,
-421.062016,2.86E-01,0.000102723,0.000102723,
-440.531921,2.84E-01,0.000115628,0.000115628,
-466.477204,2.81E-01,8.66701E-05,8.66701E-05,
